,,Starts from 01/12/2025,,
一级类目,二级类目,"RFBS -> 0 - 1500 -> Тариф, %","RFBS -> 1500.01 - 5000 -> Тариф, %","RFBS -> 5000.01+ -> Тариф, %"
药房商品,药店,12.00%,14.00%,18.00%
药房商品,矫形用品,12.00%,17.00%,17.00%
药房商品,成人用品,12.00%,14.00%,21.00%
药房商品,辅助药品,12.00%,15.00%,15.00%
药房商品,电子烟及加热系统配件,12.00%,24.00%,24.00%
药房商品,维生素和膳食补充剂,12.00%,18.00%,18.00%
家居与汽车用品,装饰、清洁与储物,12.00%,14.00%,18.00%
家居与汽车用品,住宅和花园,12.00%,14.00%,20.00%
家居与汽车用品,汽车用品,12.00%,17.00%,17.00%
家居与汽车用品,手动工具和测量仪器,12.00%,17.00%,17.00%
家居与汽车用品,建筑和装修,12.00%,18.00%,18.00%
家居与汽车用品,康复设备,12.00%,14.00%,17.00%
家居与汽车用品,重型建筑,11.00%,11.00%,11.00%
家居与汽车用品,儿童餐具,12.00%,14.00%,18.00%
家居与汽车用品,家具,10.00%,10.00%,10.00%
家居与汽车用品,轮胎,10.00%,10.00%,10.00%
家居与汽车用品,装饰材料,12.00%,14.00%,14.00%
家居与汽车用品,卫浴设备,12.00%,14.00%,14.00%
家居与汽车用品,日化,12.00%,18.00%,18.00%
家居与汽车用品,建筑、装修和园艺设备,12.00%,16.00%,16.00%
家居与汽车用品,新年装饰用品,12.00%,14.00%,20.00%
家居与汽车用品,电动滑板车,12.00%,17.00%,17.00%
家居与汽车用品,船只、马达和充气艇,12.00%,15.00%,15.00%
家居与汽车用品,自行车,12.00%,15.00%,15.00%
家居与汽车用品,水过滤器,12.00%,17.00%,17.00%
家居与汽车用品,运动手表,12.00%,12.00%,12.00%
家居与汽车用品,成品房,12.00%,14.50%,14.50%
家居与汽车用品,汽车、汽车房和特种设备,10.00%,10.00%,10.00%
美容,服装和配饰,12.00%,14.00%,20.50%
美容,鞋类,12.00%,12.00%,12.00%
美容,美容与健康,12.00%,14.00%,18.00%
美容,专业口腔护理,12.00%,17.00%,17.00%
美容,外衣,10.00%,10.00%,10.00%
美容,专业医疗设备,12.00%,17.00%,17.00%
其它,包装袋,10.00%,10.00%,10.00%
儿童用品,儿童纺织品,12.00%,19.00%,19.00%
儿童用品,儿童运动用品,12.00%,14.00%,14.00%
儿童用品,儿童电子产品、家具、配件,12.00%,14.00%,20.00%
儿童用品,玩具,12.00%,14.00%,17.50%
儿童用品,儿童卫生用品,12.00%,18.00%,18.00%
儿童用品,婴儿推车和汽车安全座椅,12.00%,14.00%,20.00%
宠物用品,宠物饲料与农场用品,12.00%,13.00%,13.00%
宠物用品,宠物用品,12.00%,14.00%,15.00%
宠物用品,宠物卫生与护理,12.00%,13.00%,13.00%
快速消费品（FMCG）,食品,11.00%,11.00%,11.00%
快速消费品（FMCG）,新鲜食品,11.00%,11.00%,11.00%
快速消费品（FMCG）,个人卫生用品,12.00%,18.00%,18.00%
快速消费品（FMCG）,隐形眼镜,12.00%,18.00%,18.00%
爱好与运动,运动和休闲用品,12.00%,19.00%,19.00%
爱好与运动,兴趣、创意与文具,12.00%,14.00%,16.00%
爱好与运动,书籍,12.00%,22.00%,22.00%
爱好与运动,蹦床、游泳池和立式桨板,12.00%,16.00%,16.00%
爱好与运动,运动营养,12.00%,15.00%,15.00%
爱好与运动,运动员营养补充剂,12.00%,18.00%,18.00%
电子产品,电子产品配饰,12.00%,20.00%,20.00%
电子产品,音频和视频设备配件,12.00%,14.50%,14.50%
电子产品,家用电器,10.00%,10.00%,10.00%
电子产品,电视机,9.00%,9.00%,9.00%
电子产品,美容设备,12.00%,14.00%,16.00%
电子产品,办公电脑设备、收银及仓储设备,12.00%,16.00%,16.00%
电子产品,游戏主机及配件、摄影器材,12.00%,12.50%,12.50%
电子产品,电脑外设设备及耗材,12.00%,14.50%,14.50%
电子产品,非内置式大型家用电器,9.00%,9.00%,9.00%
电子产品,智能手机和平板电脑,11.50%,11.50%,11.50%
电子产品,电脑及笔记本配件,12.00%,12.50%,12.50%
电子产品,Yandex 智能音箱,12.00%,14.50%,14.50%
电子产品,嵌入式大型家用电器,9.00%,9.00%,9.00%
电子产品,显示器,12.00%,12.50%,12.50%
电子产品,智能手表与健身手环,11.50%,11.50%,11.50%
电子产品,电子游戏,12.00%,14.50%,14.50%
电子产品,台式电脑,9.00%,9.00%,9.00%
电子产品,电脑设备配件,12.00%,13.50%,13.50%
电子产品,笔记本电脑,8.00%,8.00%,8.00%
电子产品,戴森配件,6.00%,6.00%,6.00%
电子产品,索尼耳机,8.00%,8.00%,8.00%
电子产品,三星 TWS 耳机,8.00%,8.00%,8.00%
电子产品,三星智能手表与健身手环,8.00%,8.00%,8.00%
电子产品,三星智能手机和平板电脑,8.00%,8.00%,8.00%
电子产品,苹果设备,7.00%,7.00%,7.00%
电子产品,戴森设备,8.00%,8.00%,8.00%
